name,short,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,g20,tx,ty,gx,gy,cx,cy,w,rate,peak,code,peak1,peak2,peak3,g20
Haiti,Haiti,HTI,3520,4100,4400,4690,5040,5380,5630,5860,6110,6280,6480,7420,7800,8050,8390,8660,8820,8980,9180,9390,9560,9290,9320,9260,9200,9170,9440,9590,9840,9960,10100,9970,11900,12600,13100,13400,13200,13300,13500,13500,13400,13700,13000,12500,11900,12400,12500,12900,12800,12800,13100,13400,13500,13300,13500,13700,9300,9780,9850,9790,9680,9720,9830,10000,10500,10700,,183.8,213.8,223.2,408.9,null,null,9.9,,,HTI,,,,
"Iran, Islamic Rep.",Iran,IRN,54000,56900,54900,55700,53900,69800,79000,80300,86200,89100,104000,107000,111000,115000,125000,135000,152000,162000,186000,196000,174000,188000,199000,234000,250000,238000,264000,270000,264000,247000,190000,179000,217000,229000,223000,236000,224000,237000,254000,275000,312000,320000,325000,335000,369000,379000,387000,384000,424000,499000,495000,519000,526000,554000,591000,618000,666000,682000,703000,722000,744000,832000,861000,874000,908000,913000,,783.2,354.9,610.3,287,null,null,64.6,,,IRN,,,,
Iraq,Iraq,IRQ,16700,17100,17100,18300,19300,21000,24200,24600,26200,27900,29800,31000,32400,33700,34600,46200,57000,50400,55100,61600,52900,60300,59700,63400,64400,68400,88400,80400,80200,97900,84800,56800,55700,63400,67000,75000,81300,86800,104000,110000,80800,61300,76600,83700,91400,94200,88600,92000,99700,102000,104000,118000,116000,116000,142000,142000,127000,90300,123000,137000,156000,171000,190000,204000,208000,188000,,747.9,354.9,574.5,315.7,null,null,35.8,,,IRQ,,,,
Israel,Isr.,ISR,3090,4370,5160,5600,5940,6480,6550,6980,7420,7550,8470,9260,10200,10700,11700,15700,16600,16900,17500,18900,20000,19900,20700,23300,23500,23900,23900,24300,25600,25600,25700,25600,28600,28600,28600,29900,31700,32600,35400,37200,42700,43200,49200,51500,55100,57700,60200,63400,65900,64900,70500,73900,70600,74700,75200,75900,77600,82700,79900,77400,80400,81200,87200,81000,79200,82700,,677.4,390.1,531.3,327.1,null,null,24.5,,,ISR,,,,
Jamaica,Jam.,JAM,1580,2050,2200,2360,2640,2930,3300,3730,3560,4110,3790,4860,4990,5370,7150,6140,6730,7170,7220,7680,8400,8990,9530,11500,10800,11300,10400,10500,12200,11700,11600,10600,10100,10600,9630,9580,9260,10200,9410,11600,12500,12800,12400,12700,12700,13700,14100,14500,14100,14300,14700,14800,14400,14900,14800,14600,14200,12300,12800,10500,9980,10500,10100,10800,10100,10200,,148.5,249.1,198,416.5,null,null,12.3,,,JAM,,,,
Jordan,Jor.,JOR,623,626,677,714,776,926,1020,1080,1130,1280,1380,1520,1680,1870,1970,2240,2430,2040,2150,2510,2240,2390,2690,3030,3060,3310,3740,3980,4510,4760,5680,6890,7390,8490,9490,9790,10400,10900,10700,10700,11900,11600,14300,14200,15600,15600,16300,16600,16800,16800,17800,18300,19800,20300,22000,24100,24200,25500,25000,25300,24600,25500,28400,28500,30700,30300,,712.7,390.1,555.7,333.8,null,null,17.8,,,JOR,,,,
Kazakhstan,Kaz.,KAZ,133000,157000,168000,180000,195000,216000,233000,252000,266000,266000,275000,278000,286000,298000,308000,319000,331000,340000,347000,356000,354000,357000,382000,378000,379000,385000,399000,401000,406000,400000,406000,388000,386000,380000,388000,409000,416000,420000,430000,429000,384000,361000,335000,299000,251000,230000,213000,199000,191000,163000,192000,181000,201000,221000,230000,243000,268000,276000,277000,274000,305000,295000,303000,310000,316000,299000,,889,249.1,650.9,241.6,709.1,509.4,42.2,,,KAZ,1,,1,
Kenya,Ken.,KEN,22300,22900,22600,22100,21800,21500,21100,20600,20100,20000,20300,22000,22500,22400,23600,23700,24300,24500,24700,25300,26100,27300,28100,28500,29900,29900,30000,30400,32600,34300,33300,34200,35200,38300,39100,38300,39200,40200,42200,43500,44900,42700,44000,45000,46300,47300,46900,45000,47700,48900,46500,46300,46500,46600,49400,51700,11400,25900,25600,24900,23700,25900,25200,24300,25100,30300,,642.3,531.2,482.5,412.8,null,null,14.7,,,KEN,,,,
Kyrgyz Republic,Kyr.,KGZ,8840,11300,12100,13000,14000,15200,16400,17600,18700,18000,18500,18700,19300,20100,20600,21300,22000,22600,22800,23200,23300,23900,25200,25200,25700,26600,27400,27800,28300,28500,29300,28800,29100,29300,29500,31200,31600,32400,32800,32400,30400,24400,20700,16200,11700,8140,8190,9090,7880,7470,7570,7500,8160,8660,9480,9910,26800,27900,29200,29100,28200,15000,17700,17700,17800,16000,,853.7,284.3,696.6,283.9,null,null,13.1,,0,KGZ,,,,
Cambodia,Camb.,KHM,48700,49900,51400,46900,47400,48400,49400,50400,50600,51400,52000,49700,49000,49400,49000,49700,50300,51300,45700,44400,45700,41500,39000,39600,40200,41200,44300,46600,48200,48700,53000,58000,60900,62100,60300,62900,63200,63100,66100,67600,70600,80500,83700,86400,84600,86800,85600,86000,89700,86800,83800,79400,99100,105000,110000,101000,51100,55500,53700,54600,56200,57800,57300,58700,59700,59700,,994.7,390.1,830.4,396.8,null,null,11.9,,,KHM,,,,
Kiribati,Kiri.,KIR,11.4,11.7,12.1,12.5,12.9,13.4,13.9,14.4,14.9,15.4,15.9,15.5,19.3,26.8,28.2,20.9,20.4,31.6,42.8,20.9,32.1,39.9,36.7,48.1,44.7,45.1,45.7,35.2,35.5,39.5,43.7,44.1,40.5,37.2,37.4,37.9,34.6,38.6,39,39.4,39.9,32.7,36.7,40.7,40.9,41.3,45.6,38.6,42.6,43,44.3,41.5,57.2,57.6,61.7,80.4,89.8,72.2,76.4,62.3,85,85.3,85.9,86.3,86.9,94.9,,1206.4,531.2,20.4,477.4,null,null,6.6,,,KIR,,,,
St. Kitts and Nevis,Kna.,KNA,18,18.8,20.1,21.5,23,24.8,26.5,38.9,40.5,45.6,43.1,54.9,47.4,51.5,52.1,56.3,57,57.7,69.5,63,63.8,66.7,66.8,66.5,74.2,71.4,76.6,77.4,73.8,77.7,92.1,96.4,108,92.4,93.6,93.5,101,97.8,109,107,146,149,155,160,167,175,180,195,203,214,227,232,250,252,267,254,362,376,376,382,378,295,326,333,343,337,,219.1,249.1,262.4,415.5,null,null,7.1,,,KNA,,,,
Kuwait,Ku.,KWT,6240,6510,6980,7610,9710,10900,10900,13000,15500,16600,21800,25100,30600,34500,44200,56000,58000,51000,52200,60100,51400,55000,55800,48600,38400,32200,33800,31000,36600,34500,37000,34100,28000,29900,37100,38700,45000,41500,43600,48400,59200,520000,29700,45200,53300,69200,64800,70100,66500,68000,68600,72400,73100,76900,81400,91400,93900,95000,103000,107000,110000,112000,124000,121000,118000,128000,,783.2,390.1,618.1,351.6,null,null,28.5,,,KWT,,,,
Lao PDR,Laos,LAO,15400,15800,16200,14800,15000,15200,15500,15800,15900,16100,16300,15800,15400,15700,16600,17000,17600,18300,15000,14800,15400,14100,14500,16300,15500,15500,16200,18100,19300,19800,21100,22300,22600,25000,23100,23000,23400,24200,23700,23500,26000,29000,30400,30800,31000,31200,31300,30900,34200,32300,29900,27800,35400,36100,42600,37300,28100,32000,27400,28800,35700,28800,31600,31700,31900,32700,,994.7,354.9,833.2,387.6,null,null,9.2,,,LAO,,,,
Lebanon,Leb.,LBN,2510,2470,2200,2320,2420,2790,3120,3350,3310,3830,3990,4110,4330,4660,4940,5030,5430,5400,5560,6310,5910,7600,8110,9770,9450,8270,8060,7410,7800,8290,8510,8650,8560,9740,9530,10600,10300,10500,10200,10700,10800,11200,13300,14700,15700,16900,17100,19100,20200,20000,18900,19900,19600,22000,20700,20100,18300,17500,21400,25200,24500,25100,26900,26900,28500,26800,,677.4,354.9,538.5,309.8,null,null,17.3,,,LBN,,,,
Liberia,Libe.,LBR,5080,5250,5120,5250,5420,5510,5630,5810,6000,6110,6260,6380,6540,6900,7140,7360,7350,7430,7560,8280,8200,8440,8610,8780,9180,8530,9150,8560,8870,9420,9310,10100,9460,10100,10600,10300,10200,10300,10800,10400,10400,9910,10700,11100,11800,12700,12700,12200,13300,13200,13200,13300,13200,11900,12100,12900,17800,17700,17700,18000,18100,4660,5030,4890,4940,5060,,465.9,495.9,408.4,366,null,null,8.2,,0,LBR,,,,
Libya,Lib.,LBY,11100,11500,11900,12300,12700,13100,13400,13800,14300,14900,15800,17400,18500,20600,21600,23900,27600,45500,59000,66200,68400,50400,38600,37200,26300,30300,39700,42500,43600,49800,49800,46100,49300,47900,45600,48200,54400,51100,55900,57100,59500,66000,57700,58700,64400,67700,66300,65100,65000,63100,66000,66300,66200,69600,72000,76000,78500,75700,82200,83700,88300,66400,79900,83700,84900,87600,,571.7,390.1,469.3,366.4,null,null,23.3,,,LBY,,,,
St. Lucia,St. L.,LCA,28.3,40,36.3,43.5,40.3,47.9,50.3,52.6,54.7,56.6,63.4,66.6,68.2,75.3,77.1,83.9,90.8,98.2,104,142,136,139,147,153,145,150,159,149,174,229,190,175,199,189,204,221,224,240,261,271,264,277,311,333,386,453,482,469,417,428,438,471,422,456,455,466,686,707,720,711,731,549,550,545,548,565,,254.3,249.1,262.4,444.2,null,null,7.5,,,LCA,,,,
Liechtenstein,Lie.,LIE,84.4,95.5,89.8,84.9,97.6,103,123,127,121,122,138,142,162,190,183,197,204,211,230,241,251,259,263,282,257,246,254,259,265,255,258,248,234,255,251,255,268,258,258,252,246,242,241,247,235,237,239,250,261,258,249,259,266,275,277,278,281,252,272,257,243,230,239,246,215,212,,null,null,450.1,217.8,null,null,6.5,,2,LIE,,1,1,
Sri Lanka,Sri L.,LKA,23000,23300,24100,22400,22000,22000,21800,22900,22400,22600,23000,23100,22900,23500,23600,24200,24300,24800,22600,23200,22700,22100,22300,23800,24400,24000,25700,27200,28600,29700,30000,32700,33400,34200,34000,34300,33800,34000,34100,34100,35100,38900,41200,42000,42700,43000,43400,43300,42500,43200,44300,43400,51300,53100,55400,52400,27300,27500,28500,29100,29900,32500,33200,32800,35400,33300,,889,425.4,796,447.8,null,null,15.8,,,LKA,,,,
Lesotho,Les.,LSO,1720,1720,1710,1670,1630,1590,1540,1500,1470,1460,1470,1610,1720,1680,1640,1900,1730,1940,1940,2060,2320,2160,2140,2150,2210,2280,2230,2120,2140,2310,2380,2340,2380,2340,2290,2400,2450,2730,2610,2640,3440,3510,3740,3760,3770,3740,3710,3710,3730,4270,4230,4390,4080,4330,4160,4460,4270,4500,4370,4480,4630,4420,4530,4670,4700,4730,,607.1,672.2,482.5,471.4,null,null,9.6,,,LSO,,,,
"Macao SAR, China",Macao,MAC,38.5,42.2,48.8,57.8,53.5,56.7,67.6,74.5,77.3,91,104,124,155,164,188,192,212,228,232,233,277,293,302,293,338,372,328,387,490,491,607,620,567,768,693,825,973,1070,1070,1140,1150,1210,1210,1310,1410,1370,1550,1640,1710,1670,1780,1840,1670,1690,1870,1990,1790,1710,1520,2260,1600,1640,1500,1370,1480,1870,,null,null,904.7,387.1,null,null,8.6,,,MAC,,,,
Morocco,Mor.,MAR,33900,30900,30700,30200,28300,26900,26100,24900,24500,24100,24200,26000,24200,25200,26100,26700,29100,30000,31300,32300,33600,35100,34600,36100,37200,37300,38100,38800,39800,42300,43100,40400,38900,40500,40600,42500,45400,47700,48400,50800,52000,35400,35700,36600,37200,38900,42300,44400,46600,50000,52700,57200,59300,60300,68600,73600,88200,91100,95500,96200,102000,97300,96000,104000,105000,109000,,466,354.9,408,331.1,1103.5,333.7,23.8,,,MAR,,,,
Monaco,Mo.,MCO,90,97.4,98,96.1,101,106,115,119,118,119,122,126,132,143,147,151,152,160,165,174,179,184,190,202,200,185,201,196,202,211,205,192,187,186,184,182,177,173,170,174,165,166,169,166,169,167,172,172,166,164,164,162,161,158,153,152,143,148,145,139,136,132,135,135,128,129,,null,null,403.6,263.3,null,null,7.5,,,MCO,,1,1,
Moldova,Mold.,MDA,7590,10700,11700,12700,13900,15400,16900,18400,19700,18900,19600,20200,21200,22300,23200,24300,25300,26100,26700,27400,27800,28900,30100,31100,32300,33700,34700,35600,36900,37200,38300,38200,38800,39500,39800,41900,42000,43600,44700,45800,44300,38500,28500,22900,20700,17000,16900,15400,13400,11100,10000,11100,10800,11300,12000,12400,11600,11300,12700,12800,13600,13600,12800,12300,11800,11900,,642.2,213.8,549.6,227.8,null,null,11.1,,0,MDA,1,,,
Madagascar,Mada.,MDG,52100,52900,51700,51600,51500,51300,51100,51100,51100,51300,52000,52800,54100,55500,56100,57300,58900,59800,59200,60300,59400,57700,59500,60900,62000,60700,63300,60400,63500,64800,64100,68700,72800,75700,77800,76100,75400,76100,77700,76600,78500,77200,82200,85000,89700,94600,95200,91200,98400,96300,93900,93800,90100,85500,84100,91900,64800,66300,63600,68500,68200,56200,55300,59000,56900,58600,,748,601.7,512.9,442.4,null,null,10,,,MDG,,,,
Maldives,Mald.,MDV,9.95,10.3,10.6,11,11.4,11.9,12.3,12.8,13.3,13.8,14.3,14.8,15.3,15.9,16.6,17.2,17.8,18.4,19,19.6,20.8,21.2,21.7,22.7,23.4,27.8,32,36.3,44.5,52.6,68.1,72.8,73.6,78.4,87.3,95.8,112,112,128,158,206,189,268,236,239,293,334,375,348,471,502,515,650,565,729,665,826,852,916,959,1010,1070,1200,1180,1430,1420,,853.7,495.9,752.1,508.3,null,null,8.6,,,MDV,,,,
Marshall Islands,Mar. Is.,MHL,20.7,21.5,22.4,23.5,24.6,25.7,26.9,28.2,29.4,30.5,31.7,32.8,34,35.3,36.6,37.9,39.2,40.4,41.7,42.8,44.2,45.3,47.1,50.1,52.4,53.8,54.8,57.8,57.2,58.2,60.5,60.8,62.8,60.6,62.7,65.4,65.8,68.9,71.4,75,76.6,78,80.8,89.2,93.6,94.1,95,95.4,99.4,95.7,130,134,139,140,145,142,153,164,167,175,178,181,183,185,187,201,,1171.1,495.9,1043.4,580.1,null,null,6.7,,,MHL,,,,
"Macedonia, FYR",Mac.,MKD,6630,6570,6630,6670,7040,7390,7790,8100,8190,8670,9050,9310,9520,9830,10300,10500,10700,10800,11200,11400,12300,12500,11900,13000,13000,12400,12500,12100,12400,13100,12500,13400,12000,12400,13200,13400,13700,13600,14000,14000,13900,12200,11600,12000,11700,11800,11300,12000,12600,12100,12000,13800,13900,13900,13800,14400,12300,12700,12700,12000,12300,13100,12600,11500,11100,12700,,606.9,284.3,518.7,273,null,null,12.3,,,MKD,,,,
Mali,Mali,MLI,18700,18600,18300,17800,17200,16500,15800,15200,14800,14500,14500,14300,14900,15300,16000,16900,17300,17700,17600,18500,18600,18900,17500,17000,15800,16700,17200,17700,18000,19000,20700,21100,22100,20500,19500,18400,18800,19000,19700,20100,21400,21300,21600,21900,22400,22900,22500,23200,27700,28700,27100,28500,27600,27100,31300,31000,36400,37300,39900,38600,40300,41700,41500,42300,44800,45000,,536.5,425.4,417.8,354.9,null,null,8.7,,,MLI,,,,
Myanmar,Mya.,MMR,128000,130000,133000,125000,125000,127000,128000,130000,131000,132000,134000,134000,135000,138000,139000,142000,142000,146000,135000,134000,153000,120000,135000,175000,131000,133000,139000,177000,199000,184000,206000,200000,202000,286000,208000,194000,210000,241000,210000,178000,165000,181000,193000,196000,197000,201000,198000,196000,201000,207000,199000,193000,223000,238000,263000,239000,189000,202000,187000,196000,206000,213000,212000,216000,230000,228000,,959.5,354.9,825.6,408.7,null,null,16.7,,,MMR,,,,
Montenegro,Mont.,MNE,2500,2470,2480,2470,2550,2630,2720,2780,2790,2900,2990,3050,3080,3110,3220,3260,3290,3320,3400,3390,3650,3820,3590,3830,3880,3990,3970,3750,3880,3980,3860,4110,3910,4120,4270,4290,4340,4280,4350,4430,6480,6020,3770,2410,2260,1790,3700,3600,4000,4040,5060,4640,5200,4270,4330,4000,-11400,-11300,-11700,-13000,-12000,4850,5100,4860,4760,4710,,571.6,319.6,510.1,285.3,null,null,9.4,,,MNE,,,1,
Mongolia,Mon.,MNG,27900,28200,29800,31500,33500,35500,37500,38200,38700,38000,36900,36200,34200,33100,34200,34300,34600,34500,34800,34600,35800,35000,36200,38200,36600,37800,39200,41500,41600,39200,38400,34200,31300,33900,28800,30300,31500,33900,33500,31000,31700,29400,27200,26100,25300,24900,25700,29000,26200,25400,25700,49500,50000,45800,46800,47100,57300,60800,60500,56900,54100,64900,73300,85200,68700,65900,,924.2,284.3,693.1,241.6,null,null,16.5,,,MNG,,,,
Mozambique,Moz.,MOZ,45600,46500,45600,45800,45900,46300,46500,46900,47200,47500,48300,50700,50500,51700,52900,53800,54000,54300,54500,56900,56400,56100,56800,58500,58700,56600,59300,56100,58100,59300,58000,62200,66100,68600,69800,67600,66300,67300,68600,67800,70600,69100,74400,76200,81100,86200,86400,80800,89000,86400,83600,86400,84200,81800,80800,87100,58200,61000,63500,60600,66000,70100,72800,74800,80000,81100,,642.3,601.7,482.5,450.2,null,null,12.7,,,MOZ,,,,
Mauritania,Mau.,MRT,8300,8440,8260,7730,7450,7020,6710,6320,6080,5920,5890,5560,5700,5860,6010,6220,6380,6580,6820,6120,6290,6110,5710,5640,4980,5130,5340,5550,5660,5770,5890,6240,6610,6170,5880,5970,5810,8860,9030,8880,7180,7420,7330,7530,7580,7550,8070,8410,8840,9380,9870,10200,10200,10400,10900,11000,11500,11700,11100,11900,12400,10400,10900,11200,11200,11200,,501.3,390.1,408,354.9,null,null,9.8,,0,MRT,,,,
Mauritius,Maur.,MUS,459,391,435,446,442,368,470,471,461,474,425,445,538,487,614,613,583,864,1040,970,863,759,1130,1090,1100,978,997,1040,1020,1050,983,936,899,1010,1050,1150,1260,1430,1340,1560,2020,2080,2290,2350,2200,2690,2870,2980,3240,3610,4100,4490,4710,4880,4870,4980,6280,6450,6630,6770,7120,7260,7450,7690,8160,8390,,783.2,601.7,534.9,442.4,null,null,10.7,,,MUS,,,,
Malawi,Mala.,MWI,5620,5790,5710,5810,5900,6010,6120,6210,6280,6390,6500,6780,6860,7100,7310,7550,7720,7860,7890,8210,8190,8300,8590,8770,8920,8880,9480,8990,9360,9460,9390,10100,10700,11100,11400,11300,11300,11600,11700,11700,12100,12100,12800,13100,13300,14200,14300,13900,14900,14600,14700,14400,14800,14700,14300,15200,14000,14300,15300,14800,16300,14300,14800,15000,15200,15500,,607.1,566.4,482.5,441.6,null,null,8.6,,,MWI,,,,
Malaysia,Mal.,MYS,70000,72900,75800,69000,69400,70200,70600,66800,66700,66500,68300,69900,68600,70500,71800,74200,77000,78600,69500,68200,75400,73100,76800,85300,84100,85600,96000,103000,108000,115000,119000,127000,128000,149000,138000,139000,146000,152000,152000,158000,166000,200000,212000,228000,234000,242000,262000,284000,287000,288000,301000,306000,342000,362000,385000,401000,271000,287000,296000,297000,321000,181000,186000,208000,229000,236000,,959.5,425.4,860.5,423.1,null,null,41.8,,,MYS,,,,
Namibia,Nam.,NAM,10100,10000,9810,9510,9140,8730,8320,7940,7650,7460,7420,7780,8060,8140,8170,8250,8310,8320,8390,8470,8580,8590,8680,8770,9170,7940,7880,8440,8490,8740,9270,8720,8480,8370,8650,8820,8650,8580,8820,8890,9710,9970,10000,9980,10200,10300,10100,10100,10900,10800,11800,11300,10400,10100,10500,11800,20200,20000,20600,21700,21300,24600,25600,20600,20400,22600,,536.6,601.7,446.3,431.6,null,null,10.4,,,NAM,,,,
Niger,Niger,NER,11100,11000,10800,10500,10100,9670,9240,8840,8530,8330,8310,8070,8490,8750,9570,10100,10700,11200,11700,11900,12300,12700,12900,10200,10300,11000,11900,13000,13500,14100,14700,15500,16100,17000,13000,11500,11500,12000,12400,12900,13100,13500,14100,14600,15200,15800,16500,17000,17900,18500,19000,19300,20600,21400,22200,23100,25300,26400,27500,28600,29800,29500,31300,32600,34000,34600,,571.7,425.4,426.2,362.6,null,null,9.3,,,NER,,,,
Nigeria,Nig.,NGA,54000,54700,54700,55600,56100,56700,57500,58400,59600,60600,61800,66300,69000,73800,79300,87600,91500,95300,91400,102000,94600,113000,130000,146000,169000,141000,158000,145000,145000,184000,176000,168000,168000,166000,181000,182000,187000,172000,192000,169000,182000,188000,201000,205000,197000,207000,221000,218000,220000,219000,262000,283000,276000,287000,293000,302000,421000,413000,409000,376000,400000,422000,428000,428000,428000,430000,,536.6,460.6,428.7,371.9,null,null,28.6,,,NGA,,,,
Nicaragua,Nic.,NIC,13100,16300,17500,18500,19500,20400,20900,21500,22200,22400,22800,28900,31000,32800,34300,35400,36300,37100,38000,38700,39500,36200,35700,35800,35800,35700,36400,37400,37400,35900,35700,36100,47700,50300,53000,55300,56800,57200,58200,58600,60700,58900,52900,51600,50300,48500,47300,47500,47800,47800,47900,47600,47000,47900,46800,47200,43800,44000,43800,44100,44200,16100,15900,15800,16400,16700,,78,284.3,142.5,456.6,null,null,11.1,,,NIC,,,,
Norway,Nor.,NOR,20300,21600,22200,22900,23700,25800,27100,27400,28100,29500,31500,32400,34000,35700,37800,39000,42900,43700,46300,48000,51000,49800,54400,56900,54000,53800,53900,55500,57300,58300,61200,61600,59300,56000,60500,60300,65100,60400,63400,68400,52600,35900,34100,36200,38100,37800,40700,40700,40900,41900,41200,35500,34500,35000,35700,34800,33300,35100,33600,31000,33500,33200,32900,32700,32500,33100,,501.1,72.8,475.9,100.6,655.8,240.5,21.9,,2,NOR,1,1,1,
Nepal,Nep.,NPL,28100,28500,29000,27000,27000,27200,27300,27500,27500,27700,27900,28600,28300,28700,28600,29100,29400,30200,27500,27500,27300,27400,27700,29600,30900,31600,33400,35100,36200,37300,38500,40700,40900,41800,42600,42800,42800,43500,44200,44700,45400,49900,50900,52500,52900,54200,54900,55000,54800,55400,54700,53700,60700,63700,65400,62100,36000,36100,38200,40100,41200,42100,43600,44200,46200,44300,,889,354.9,800,387.2,null,null,12.5,,,NPL,,,,
Nauru,Nauru,NRU,6.02,6.23,6.48,6.74,7.02,7.32,7.63,7.94,8.26,8.58,8.89,9.33,9.68,10,12.9,14.3,14.3,19.4,19.5,25.9,25.8,33.3,29.8,32.5,37.5,38.9,38.7,42.3,42.5,42.7,46.5,46.8,47,47.2,47,47.2,59.6,58.6,58.8,59,48.2,48.5,47.5,45.3,38.5,35.8,33.1,31.7,29,25.1,21.2,29.5,38.7,43.5,41.7,37.4,27.1,24.5,31,34.4,44,42.1,42.2,45.4,48.7,45.8,,1171.1,531.2,1043.4,594.9,null,null,6.5,,0,NRU,,,,
New Zealand,N.Z.,NZL,42900,54300,59000,61400,63100,64500,65700,67100,67800,68600,70300,70200,70300,71800,73000,74400,76400,77700,78700,80000,79900,66900,66300,64600,64300,62700,63000,63500,61100,58800,61100,60900,62400,62100,63500,65200,66500,65900,66900,66100,66500,44400,45700,45300,46400,47400,49500,52200,49900,51900,54000,63800,64300,66700,66300,68300,66900,64600,64500,62000,62400,62900,64900,64400,65200,65100,,1065.3,601.7,964.8,643.1,753.7,380.2,19.5,,2,NZL,,1,1,
Oman,Oman,OMN,1820,1980,2160,2350,2560,2790,3040,3320,3610,3940,4290,4670,5010,5370,5790,6330,6990,7930,9000,10400,5770,7640,7640,7730,8120,24600,27400,27400,23400,21600,14400,15400,13700,16300,15000,13800,16100,15600,17600,17000,19100,19400,20100,21800,23300,24500,24100,25300,26300,31400,34800,35500,41500,49800,45500,48300,58900,62900,62500,61200,68400,77200,83300,86700,87300,82600,,747.9,425.4,573.6,413.9,null,null,24,,,OMN,,,,
Pakistan,Pak.,PAK,51700,53600,54600,54700,55300,56300,58600,59600,61500,61700,64700,67100,69500,73700,75800,78300,81600,84700,89000,90100,92200,92600,89900,93100,97200,102000,105000,109000,115000,121000,126000,132000,139000,144000,148000,156000,167000,174000,183000,189000,199000,203000,211000,221000,231000,236000,251000,255000,263000,271000,281000,287000,300000,313000,333000,343000,375000,393000,401000,409000,412000,429000,434000,445000,454000,470000,,853.7,354.9,674.1,351.6,null,null,35.6,,,PAK,,,,
Panama,Pan.,PAN,6270,7620,8260,8610,8900,9330,9560,9980,10400,10800,10900,13400,14500,15400,16200,16900,17200,17500,18300,18300,18800,18100,18400,18700,18500,19300,19200,19200,18700,19100,17900,18300,23000,24400,24800,25500,26200,26900,26900,26600,26900,27500,25700,24700,24500,22600,23900,24400,24600,24000,24000,25500,24000,24000,23500,24600,20500,20300,20700,21900,22400,23600,23600,24400,22200,22800,,148.5,354.9,142.5,467.7,null,null,12.8,,,PAN,,,,
Peru,Peru,PER,44700,52800,56500,60000,63700,66500,69000,71600,74200,75800,78100,92600,99200,103000,107000,110000,112000,114000,116000,120000,124000,117000,115000,114000,116000,115000,117000,117000,116000,116000,118000,119000,145000,148000,154000,157000,165000,172000,172000,169000,166000,165000,148000,148000,157000,155000,152000,153000,151000,151000,151000,147000,146000,146000,151000,157000,150000,158000,156000,168000,174000,168000,174000,171000,175000,184000,,183.8,460.6,161.9,516,685,513.1,24.1,,,PER,,,,
Philippines,Phil.,PHL,95500,97200,100000,93300,95300,98000,98900,101000,102000,103000,106000,109000,109000,110000,112000,115000,119000,125000,120000,119000,120000,124000,123000,137000,139000,140000,147000,153000,157000,162000,161000,166000,167000,168000,165000,164000,166000,169000,177000,182000,184000,202000,210000,215000,223000,231000,238000,247000,238000,243000,247000,242000,268000,277000,287000,273000,180000,187000,196000,196000,202000,114000,120000,127000,137000,145000,,1065.3,425.4,981.2,399.2,936.7,394,29.6,,,PHL,,,,
Palau,Palau,PLW,9.9,10.3,10.8,11.3,11.8,11.5,11.5,15.2,15.2,15.2,15.2,51.9,51.9,55.6,59.3,66.6,66.6,74,77.7,133,136,166,173,177,195,195,115,184,111,126,159,159,159,159,159,163,163,163,185,229,236,93.1,93.1,93.1,93.2,93.2,93.2,96.9,96.9,101,108,115,112,115,115,123,266,262,255,247,255,255,255,258,262,258,,1100.6,495.9,1000.4,579.6,null,null,7.2,,,PLW,,,,
Papua New Guinea,Pap. N.G.,PNG,7780,10700,11600,12400,12600,12800,13000,13100,13200,13300,13400,13600,13600,13700,13800,13800,13900,14000,14100,14200,14400,11200,12300,10500,10100,9840,10300,11400,9960,10700,10600,10900,18000,12600,10800,10800,12000,14400,10300,10300,15300,72300,72200,71900,72400,72100,60800,180000,64900,63500,64100,62200,80800,69600,101000,64700,75600,66500,73000,67400,73800,65200,64500,70400,75700,69600,,1030,495.9,995.7,594.9,null,null,11.8,,,PNG,,,,
"Korea, Dem. People’s Rep.",N. Kor.,PRK,14400,22700,26000,30800,37700,44100,49100,54800,62800,70000,76000,80000,86100,89200,93100,105000,110000,116000,126000,133000,151000,187000,162000,173000,176000,185000,189000,196000,194000,197000,204000,205000,210000,226000,237000,251000,268000,294000,327000,341000,223000,227000,204000,192000,178000,159000,137000,124000,105000,104000,102000,107000,106000,108000,111000,115000,119000,105000,113000,112000,108000,88400,89400,75900,80600,107000,,994.7,284.3,949.1,206.4,null,null,20.6,,,PRK,,,,
Paraguay,Para.,PRY,28800,35100,37600,39700,41800,43600,45100,46300,47500,48500,49300,61900,65200,67800,70400,72800,73800,74600,75600,76300,78500,70700,70800,69500,69400,69800,72100,71200,72800,73000,73900,74200,97700,104000,108000,113000,117000,121000,122000,123000,122000,121000,108000,107000,105000,104000,102000,101000,100000,102000,95800,96100,94500,95700,92900,93900,159000,163000,160000,161000,165000,179000,181000,183000,184000,184000,,219.1,460.6,187.3,511.1,null,null,11.5,,,PRY,,,,
