name,short,code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,g20,tx,ty,gx,gy,cx,cy,w,rate,peak,code,peak1,peak2,peak3,g20
Iceland,Ice.,ISL,3700,3610,3750,3920,3850,4040,4150,4240,4430,4630,4680,4580,4760,4910,4980,5150,5350,5370,5570,5330,5320,5370,5530,6060,5980,5730,5850,6070,6060,6100,5830,5690,5390,5400,5810,5620,5840,5920,6020,6220,6180,5810,5690,5750,5670,5720,5800,5960,6110,6320,6280,6220,6240,6220,6270,6190,6780,6950,7350,7070,6940,6590,6620,6630,6620,6700,1,254.3,72.8,302.3,83.5,null,null,9.2,0,2,ISL,,1,1,1
Italy,Ita.,ITA,104000,112000,115000,122000,133000,143000,155000,160000,163000,171000,188000,204000,228000,247000,259000,276000,303000,326000,343000,367000,391000,403000,421000,449000,454000,433000,460000,449000,468000,483000,483000,471000,458000,447000,457000,462000,457000,476000,484000,504000,517000,492000,487000,481000,473000,501000,494000,500000,512000,517000,523000,529000,530000,545000,549000,548000,538000,532000,517000,465000,474000,460000,440000,409000,392000,401000,1,501.1,249.1,450.1,241.4,709.1,330.1,47.2,0,2,ITA,,1,1,1
Japan,Japan,JPN,189000,226000,239000,261000,262000,265000,289000,321000,318000,333000,378000,432000,446000,482000,521000,552000,589000,666000,746000,844000,960000,970000,1030000,1090000,1090000,1030000,1080000,1110000,1070000,1130000,1130000,1110000,1070000,1050000,1120000,1090000,1090000,1080000,1170000,1210000,1270000,1200000,1220000,1210000,1270000,1290000,1300000,1300000,1260000,1280000,1300000,1310000,1340000,1350000,1340000,1350000,1220000,1260000,1170000,1100000,1150000,1340000,1380000,1390000,1350000,1310000,1,1065.3,284.3,1029,202.6,299.2,138.7,86.1,2,2,JPN,,1,1,1
"Korea, Rep.",S. Kor.,KOR,27200,35800,39000,42600,44400,46900,49100,50900,52600,55800,57900,60300,64200,69000,70700,74600,80600,86700,88400,95600,108000,104000,105000,117000,122000,128000,139000,153000,162000,184000,184000,190000,191000,204000,220000,236000,241000,251000,282000,296000,306000,295000,321000,357000,382000,414000,450000,480000,409000,448000,481000,484000,511000,521000,530000,538000,534000,550000,563000,564000,625000,665000,668000,678000,673000,684000,1,994.7,319.6,949.1,227,385.3,163.1,61.7,0,,KOR,,,1,1
Lithuania,Lith.,LTU,10900,18900,21000,23000,25200,27600,30200,32800,35400,31800,33000,33600,35100,36400,37300,38500,39400,40300,40800,41400,40500,41300,42400,43500,45100,46500,47400,48300,50100,50100,50900,51100,51300,51800,51500,52600,52600,53800,54100,53700,50800,52800,33600,27500,26100,25100,26100,25600,26500,23800,22200,23400,23900,24000,24900,26000,24400,26500,25500,21100,21900,22300,22200,20900,20900,21100,1,571.6,108.1,540.7,150.6,775.6,272.8,14.2,0,0,LTU,,1,1,1
Luxembourg,Lux.,LUX,9140,10800,11300,10600,10800,12000,12600,13200,12500,12900,14100,14300,14400,14300,15300,15300,14800,14600,15700,16800,17200,16500,16900,17600,18200,14900,14800,13800,14900,15200,13900,12000,11300,10700,11500,11700,11500,11100,11500,12300,12800,13300,13100,13200,12400,9970,10000,9370,8480,8950,8960,10200,11000,11400,12800,13100,12900,12300,12200,11700,12200,12100,11800,11300,10900,10400,1,465.9,178.6,414.9,204.6,630.5,281.3,13.1,0,0,LUX,,1,1,1
Latvia,Lat.,LVA,6340,9090,9930,10700,11600,12700,13800,14900,16000,15000,15600,15900,16600,17300,17800,18400,18900,19500,19800,20300,20400,21000,21700,22500,23300,24100,24600,25100,26100,26200,26700,26800,27000,27300,27100,27800,27900,28500,28700,28800,28000,15700,10800,7320,5440,4000,4090,3490,3000,2240,1640,10900,11100,11100,11100,11200,232,630,158,-513,632,1730,1660,1620,1590,1700,1,606.9,108.1,540.7,138.6,773.7,244.6,12.1,0,0,LVA,1,1,1,1
Mexico,Mex.,MEX,145000,177000,190000,198000,206000,220000,227000,242000,253000,264000,272000,320000,329000,349000,373000,380000,395000,406000,415000,428000,453000,439000,436000,439000,455000,467000,486000,485000,521000,536000,567000,590000,719000,704000,715000,741000,753000,772000,769000,816000,825000,838000,782000,774000,787000,765000,778000,795000,818000,798000,828000,816000,805000,813000,840000,849000,621000,652000,688000,670000,690000,697000,690000,694000,702000,707000,1,78,178.6,86.1,379.5,652.7,417.3,56.4,1,,MEX,,,1,1
Malta,Malta,MLT,316,328,314,304,387,418,375,387,410,471,420,379,416,497,587,562,508,618,739,756,768,766,947,914,854,775,878,926,1060,1030,1150,1270,1440,1130,1510,1350,1640,2020,2180,2350,2400,2400,2560,2940,2820,2590,2670,2690,2710,2830,2680,2870,2890,3180,3070,3040,3080,3180,3110,3000,3030,3130,3250,2920,2940,2240,1,466.1,284.4,440.1,295.5,781.5,370.3,9.5,0,2,MLT,,1,1,1
Netherlands,Neth.,NLD,79200,83200,83600,85000,88900,92400,97400,97800,101000,102000,109000,113000,122000,130000,136000,141000,146000,150000,158000,161000,183000,183000,202000,213000,212000,205000,221000,217000,224000,241000,233000,222000,189000,194000,202000,204000,201000,208000,203000,218000,221000,232000,232000,234000,237000,234000,245000,236000,236000,223000,221000,222000,221000,221000,222000,217000,210000,209000,209000,203000,215000,201000,197000,197000,189000,197000,1,465.9,143.3,392.3,140.7,627.3,294.5,35.7,0,0,NLD,,1,1,1
Poland,Pol.,POL,188000,199000,206000,218000,229000,237000,252000,266000,267000,283000,295000,306000,318000,334000,349000,355000,364000,375000,395000,417000,419000,429000,447000,458000,470000,498000,518000,537000,550000,557000,572000,506000,519000,523000,535000,545000,553000,556000,556000,537000,453000,444000,431000,432000,426000,427000,441000,432000,401000,390000,379000,367000,357000,371000,376000,377000,308000,309000,301000,283000,302000,383000,376000,373000,360000,363000,1,536.4,143.3,495.8,144.3,730.7,256.6,44.9,0,0,POL,,1,1,1
Portugal,Port.,PRT,17000,16800,16900,17700,17800,18800,19800,20700,20700,21400,21800,22800,23100,24300,25800,26500,26800,27700,28600,30800,31000,32100,34700,36800,36800,37200,38000,39300,40600,43100,43900,44700,47100,48000,46000,44300,48200,49500,50600,59900,61100,64300,68200,66900,68100,72900,70200,73300,78700,86200,85400,88900,93100,88900,91100,94000,82400,80000,77300,74300,70500,70900,69100,67300,66800,71400,1,395.3,249.1,357.3,283.6,646.5,376.1,21.4,0,2,PRT,,1,1,1
